City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,stanley,54.868,-1.6985,19.01,69,0,1.03,GB,1722284683
83,west island,-12.1568,96.8225,25.99,83,20,4.63,CC,1722284686
84,north bend,43.4065,-124.2243,24.43,82,100,5.14,US,1722284687
85,khandyga,62.6667,135.6,14.83,70,100,2.31,RU,1722284688
86,sorong,-0.8833,131.25,25.0,89,88,2.37,ID,1722284689
87,newman,37.3138,-121.0208,31.7,19,0,0.23,US,1722284691
88,torghay,49.6339,63.4981,22.28,36,53,3.01,KZ,1722284692
89,south hedland,-20.4089,118.5983,14.96,63,3,2.06,AU,1722284693
90,mount gambier,-37.8333,140.7667,3.27,92,100,2.39,AU,1722284694
91,yellowknife,62.456,-114.3525,17.29,55,100,3.6,CA,1722284695
92,novokhopersk,51.0969,41.6252,17.56,64,7,3.63,RU,1722284697
93,impfondo,1.6381,18.0667,25.05,70,53,0.91,CG,1722284698
94,lompoc,34.6391,-120.4579,27.08,71,40,3.6,US,1722284699
95,sitia,35.2,26.0986,29.43,72,0,4.05,GR,1722284700
96,ilulissat,69.2167,-51.1,4.01,100,75,3.09,GL,1722284701
97,albu kamal,34.45,40.9186,35.15,16,0,8.33,SY,1722284703
98,puerto natales,-51.7236,-72.4875,8.25,61,75,6.69,CL,1722284704
99,hermanus,-34.4187,19.2345,10.45,84,100,4.03,ZA,1722284705
100,osa,57.2829,55.4567,13.0,96,100,1.48,RU,1722284707
101,sabzevar,36.2126,57.6819,26.76,34,1,6.06,IR,1722284708
102,cadale,2.7603,46.3222,24.63,84,72,9.49,SO,1722284709
103,thinadhoo,0.5333,72.9333,28.89,74,100,4.53,MV,1722284710
104,usinsk,65.9939,57.5281,14.29,96,100,4.35,RU,1722284712
105,afaahiti,-17.75,-149.2833,26.93,83,1,9.57,PF,1722284713
106,kodiak,57.79,-152.4072,15.73,55,20,4.12,US,1722284714
107,ekibastuz,51.6667,75.3667,20.76,47,7,0.91,KZ,1722284715
108,enewetak,11.3474,162.3373,28.3,78,55,4.9,MH,1722284716
109,punta arenas,-53.15,-70.9167,5.01,81,75,5.66,CL,1722284492
110,qarauyl,48.9451,79.255,20.15,65,56,4.97,KZ,1722284719
111,ust-nera,64.5667,143.2,14.97,77,100,3.15,RU,1722284720
